1785419422, 0x00000100,  0x00000001,[PowerOn]Power on!
1785419422, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1785419422, 0x00000700,  0x00000001,EthIP Stask Info [Version: V1R2C1B21SPC0  Compile Time: Mar 24 2025]
1785419422, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1785419422, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1785419422, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1785419422, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1785419422, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1785419422, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1785419422, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1785419422, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1785419422, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1785419422, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1785419422, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1785419422, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1785419422, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1785419422, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1785419422, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1785419422, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1785419422, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1785419422, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1785419422, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1785419422, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1785419422, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1785419425, 0x00000100,  0x00000001,[monitor]login event:0  route:1452
1785419425, 0x00000100,  0x00000001,[monitor]login event:1  route:1452
1785419426, 0x00000100,  0x00000001,Download project\project.hcpp start.
1785419426, 0x00000100,  0x00000001,Download project\project.hcpp finished.
1785419426, 0x00000100,  0x00000001,Download userprog.foid start.
1785419426, 0x00000100,  0x00000001,Download userprog.foid finished.
1785419426, 0x00000100,  0x00000001,Download stprog.o start.
1785419426, 0x00000100,  0x00000001,Download stprog.o finished.
1785419426, 0x00000100,  0x00000001,Download stuserprog.o start.
1785419426, 0x00000100,  0x00000001,Download stuserprog.o finished.
1785419426, 0x00000100,  0x00000001,Download symbol.sym start.
1785419426, 0x00000100,  0x00000001,Download symbol.sym finished.
1785419426, 0x00000100,  0x00000001,Download varsinfo.foid start.
1785419426, 0x00000100,  0x00000001,Download varsinfo.foid finished.
1785419426, 0x00000100,  0x00000001,Download syscfg.foid start.
1785419426, 0x00000100,  0x00000001,Download syscfg.foid finished.
1785419426, 0x00000100,  0x00000001,Download ethercat.foid start.
1785419426, 0x00000100,  0x00000001,Download ethercat.foid finished.
1785419426, 0x00000100,  0x00000001,Download modbus.foid start.
1785419426, 0x00000100,  0x00000001,Download modbus.foid finished.
1785419426, 0x00000100,  0x00000001,Download canlink.foid start.
1785419426, 0x00000100,  0x00000001,Download canlink.foid finished.
1785419426, 0x00000100,  0x00000001,Download modcfg.foid start.
1785419426, 0x00000100,  0x00000001,Download modcfg.foid finished.
1785419426, 0x00000100,  0x00000001,Download ethip.foid start.
1785419426, 0x00000100,  0x00000001,Download ethip.foid finished.
1785419426, 0x00000100,  0x00000001,Download EIPIns.foid start.
1785419426, 0x00000100,  0x00000001,Download EIPIns.foid finished.
1785419426, 0x00000100,  0x00000001,Download ecttrans.foid start.
1785419426, 0x00000100,  0x00000001,Download ecttrans.foid finished.
1785419426, 0x00000100,  0x00000001,Download dataLog.foid start.
1785419426, 0x00000100,  0x00000001,Download dataLog.foid finished.
1785419426, 0x00000100,  0x00000001,Download OpcUAServer.foid start.
1785419426, 0x00000100,  0x00000001,Download OpcUAServer.foid finished.
1785419426, 0x00000100,  0x00000001,Download sftpserver.foid start.
1785419426, 0x00000100,  0x00000001,Download sftpserver.foid finished.
1785419426, 0x00000100,  0x00000001,Download Ecam.foid start.
1785419426, 0x00000100,  0x00000001,Download Ecam.foid finished.
1785419426, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 3.
1785419426, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 3.
1785419426, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 3.
1785419426, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 3.
1785419426, 0x00000100,  0x00000001,[monitor]login event:2  route:1452
1785419427, 0x00000100,  0x00000001,run status changed to RUN!!! because of control word.
1785419427, 0x00000600,  0x00000001,EtherCAT: update ecat start.
1785419427, 0x00000600,  0x00000001,EtherCAT: Start to get config data.
1785419427, 0x00000600,  0x00000001,EtherCAT:etc_first_updateconfig 
1785419427, 0x00000600,  0x00000001,EtherCAT: Cycle time is 4000 us.
1785419427, 0x00000600,  0x00000001,EtherCAT: There are 0 slave(s) configured.
1785419427, 0x00000600,  0x00000001,EtherCAT: offset time is 0.500000 us.
1785419427, 0x00000600,  0x00000001,EtherCAT: Get config data finished.
1785419427, 0x00000601,  0x00000001,MC Axis:Start to get configure data
1785419427, 0x00000601,  0x00000001,MC Axis:Finished! There are 0 axis(es)
1785419427, 0x00000601,  0x00000001,MC Group:Finished! There are 0 axes group(s)
1785419427, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1785419427, 0x00000700,  0x00000001,EthIP Stask Info [Version: V1R2C1B21SPC0  Compile Time: Mar 24 2025]
1785419427, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1785419427, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1785419427, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1785419427, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1785419427, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1785419427, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1785419427, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1785419427, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1785419427, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1785419427, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1785419427, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1785419427, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1785419427, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1785419427, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1785419427, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1785419427, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1785419427, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1785419427, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1785419427, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1785419427, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1785419427, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1785419427, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load begin.
1785419427, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load finished.
1785419427, 0x00000600,  0x00000001,EtherCAT: Received run command.
1785419427, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 1.
1785419427, 0x00000700,  0x00000001,Hook run 1/4: EthIPScanner: CMP_EVT_RUN
1785419427, 0x00000700,  0x00000001,Update 1/2: EthIPScanner: update cipudtlist done
1785419427, 0x00000700,  0x00000001,Update 2/2: EthIPScanner: update cipexplicittag done
